terminalId,portId,terminalCode,terminalName,terminalType,operatorName,latitude,longitude,isActive,totalBerths
1,1,SGSIN-CT01,Deep Water Container Terminal,Container,PSA International,1.2496,103.8297,TRUE,5
2,1,SGSIN-CT02,Main Container Terminal 2,Container,PSA International,1.2453,103.8295,TRUE,3
3,1,SGSIN-CT03,Container Terminal 3,Container,Eurogate,1.2648,103.8214,TRUE,8
4,1,SGSIN-CT04,West Container Terminal,Container,PSA International,1.2672,103.8081,TRUE,8
5,1,SGSIN-BT01,Iron Ore Terminal,Bulk,PSA International,1.2688,103.822,TRUE,4
6,1,SGSIN-GT01,General Cargo Terminal 1,General,PSA International,1.2597,103.8377,TRUE,2
7,1,SGSIN-RT01,Car Carrier Terminal,RoRo,PSA International,1.262,103.8167,FALSE,3
8,1,SGSIN-PT01,Passenger Terminal,Passenger,PSA International,1.2641,103.8065,TRUE,1
9,2,CNSHA-CT01,Container Terminal 1,Container,COSCO Shipping Ports,31.2442,121.4934,TRUE,5
10,2,CNSHA-CT02,Gateway Container Terminal,Container,COSCO Shipping Ports,31.235,121.4887,TRUE,8
11,2,CNSHA-CT03,South Container Terminal,Container,CMA CGM Terminals,31.2396,121.4634,TRUE,7
12,2,CNSHA-CT04,Gateway Container Terminal,Container,China Merchants Port,31.2455,121.456,TRUE,4
13,2,CNSHA-BT01,Minerals Terminal,Bulk,COSCO Shipping Ports,31.2319,121.4542,TRUE,2
14,2,CNSHA-GT01,Breakbulk Terminal,General,Multipurpose Terminal,31.2204,121.4805,TRUE,4
15,3,CNSZX-CT01,South Container Terminal,Container,COSCO Shipping Ports,22.4922,113.9155,TRUE,7
16,3,CNSZX-CT02,South Container Terminal,Container,Ningbo Zhoushan Port Co,22.489,113.9194,TRUE,6
17,3,CNSZX-CT03,North Container Terminal,Container,Shanghai International Port Group,22.4646,113.9011,TRUE,3
18,3,CNSZX-CT04,North Container Terminal,Container,Ningbo Zhoushan Port Co,22.4613,113.9112,TRUE,6
19,3,CNSZX-BT01,Dry Bulk Terminal,Bulk,Rio Tinto Terminal,22.4987,113.9004,TRUE,5
20,3,CNSZX-GT01,Heavy Lift Terminal,General,Shanghai International Port Group,22.4751,113.8932,TRUE,4
